cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Loading pretrained weights to generate initialization============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 64.35, lr: 0.000030, Train: (LOSS: 0.2376, MAE: 0.2376, RMSE: 0.2834, R2: -0.1522), Valid: (LOSS: 0.3047, MAE: 0.3047, RMSE: 0.3802, R2: -1.1000), PNorm: 174.3936, GNorm: 1.5220
[19/299] timecost: 67.70, lr: 0.000030, Train: (LOSS: 0.1062, MAE: 0.1062, RMSE: 0.1546, R2: 0.6462), Valid: (LOSS: 0.1150, MAE: 0.1150, RMSE: 0.1599, R2: 0.6248), PNorm: 167.6716, GNorm: 1.3844
[20/299] timecost: 67.11, lr: 0.000030, Train: (LOSS: 0.1026, MAE: 0.1026, RMSE: 0.1503, R2: 0.6545), Valid: (LOSS: 0.1115, MAE: 0.1115, RMSE: 0.1544, R2: 0.6509), PNorm: 167.3988, GNorm: 1.9032
[21/299] timecost: 67.47, lr: 0.000030, Train: (LOSS: 0.0988, MAE: 0.0988, RMSE: 0.1452, R2: 0.6816), Valid: (LOSS: 0.1131, MAE: 0.1131, RMSE: 0.1664, R2: 0.5954), PNorm: 167.1298, GNorm: 3.8214
[22/299] timecost: 66.87, lr: 0.000030, Train: (LOSS: 0.0959, MAE: 0.0959, RMSE: 0.1402, R2: 0.7040), Valid: (LOSS: 0.1106, MAE: 0.1106, RMSE: 0.1580, R2: 0.6333), PNorm: 166.8640, GNorm: 1.1278
[23/299] timecost: 67.60, lr: 0.000030, Train: (LOSS: 0.0966, MAE: 0.0966, RMSE: 0.1436, R2: 0.6864), Valid: (LOSS: 0.1168, MAE: 0.1168, RMSE: 0.1614, R2: 0.6189), PNorm: 166.6030, GNorm: 2.1285
[24/299] timecost: 67.86, lr: 0.000030, Train: (LOSS: 0.0926, MAE: 0.0926, RMSE: 0.1381, R2: 0.7104), Valid: (LOSS: 0.1062, MAE: 0.1062, RMSE: 0.1547, R2: 0.6458), PNorm: 166.3467, GNorm: 2.6255
[25/299] timecost: 66.97, lr: 0.000030, Train: (LOSS: 0.0886, MAE: 0.0886, RMSE: 0.1339, R2: 0.7329), Valid: (LOSS: 0.0985, MAE: 0.0985, RMSE: 0.1439, R2: 0.6940), PNorm: 166.0941, GNorm: 1.1170
[26/299] timecost: 66.70, lr: 0.000030, Train: (LOSS: 0.0856, MAE: 0.0856, RMSE: 0.1298, R2: 0.7498), Valid: (LOSS: 0.0977, MAE: 0.0977, RMSE: 0.1441, R2: 0.6913), PNorm: 165.8454, GNorm: 4.2450
[27/299] timecost: 66.68, lr: 0.000030, Train: (LOSS: 0.0866, MAE: 0.0866, RMSE: 0.1303, R2: 0.7390), Valid: (LOSS: 0.0982, MAE: 0.0982, RMSE: 0.1475, R2: 0.6783), PNorm: 165.6002, GNorm: 1.6761
[28/299] timecost: 65.43, lr: 0.000030, Train: (LOSS: 0.0874, MAE: 0.0874, RMSE: 0.1312, R2: 0.7380), Valid: (LOSS: 0.1061, MAE: 0.1061, RMSE: 0.1494, R2: 0.6656), PNorm: 165.3590, GNorm: 1.4658
[29/299] timecost: 63.72, lr: 0.000030, Train: (LOSS: 0.0814, MAE: 0.0814, RMSE: 0.1242, R2: 0.7649), Valid: (LOSS: 0.0923, MAE: 0.0923, RMSE: 0.1352, R2: 0.7319), PNorm: 165.1194, GNorm: 1.7121
[30/299] timecost: 63.90, lr: 0.000030, Train: (LOSS: 0.0782, MAE: 0.0782, RMSE: 0.1194, R2: 0.7884), Valid: (LOSS: 0.0911, MAE: 0.0911, RMSE: 0.1351, R2: 0.7301), PNorm: 164.8821, GNorm: 1.6225
[31/299] timecost: 63.30, lr: 0.000030, Train: (LOSS: 0.0770, MAE: 0.0770, RMSE: 0.1202, R2: 0.7788), Valid: (LOSS: 0.0924, MAE: 0.0924, RMSE: 0.1368, R2: 0.7170), PNorm: 164.6487, GNorm: 1.0375
[32/299] timecost: 63.11, lr: 0.000030, Train: (LOSS: 0.0757, MAE: 0.0757, RMSE: 0.1163, R2: 0.7959), Valid: (LOSS: 0.1009, MAE: 0.1009, RMSE: 0.1471, R2: 0.6831), PNorm: 164.4186, GNorm: 1.5035
[33/299] timecost: 63.34, lr: 0.000030, Train: (LOSS: 0.0729, MAE: 0.0729, RMSE: 0.1121, R2: 0.8059), Valid: (LOSS: 0.0943, MAE: 0.0943, RMSE: 0.1361, R2: 0.7235), PNorm: 164.1904, GNorm: 1.5896
[34/299] timecost: 63.35, lr: 0.000030, Train: (LOSS: 0.0728, MAE: 0.0728, RMSE: 0.1110, R2: 0.8116), Valid: (LOSS: 0.0884, MAE: 0.0884, RMSE: 0.1322, R2: 0.7398), PNorm: 163.9648, GNorm: 1.6675
[35/299] timecost: 63.18, lr: 0.000030, Train: (LOSS: 0.0748, MAE: 0.0748, RMSE: 0.1152, R2: 0.7941), Valid: (LOSS: 0.0955, MAE: 0.0955, RMSE: 0.1392, R2: 0.7110), PNorm: 163.7438, GNorm: 1.5248
[36/299] timecost: 63.38, lr: 0.000030, Train: (LOSS: 0.0703, MAE: 0.0703, RMSE: 0.1082, R2: 0.8202), Valid: (LOSS: 0.0869, MAE: 0.0869, RMSE: 0.1311, R2: 0.7436), PNorm: 163.5240, GNorm: 1.6303
[37/299] timecost: 63.57, lr: 0.000030, Train: (LOSS: 0.0682, MAE: 0.0682, RMSE: 0.1074, R2: 0.8230), Valid: (LOSS: 0.0877, MAE: 0.0877, RMSE: 0.1300, R2: 0.7470), PNorm: 163.3055, GNorm: 2.0120
[38/299] timecost: 63.41, lr: 0.000030, Train: (LOSS: 0.0676, MAE: 0.0676, RMSE: 0.1060, R2: 0.8298), Valid: (LOSS: 0.0844, MAE: 0.0844, RMSE: 0.1303, R2: 0.7411), PNorm: 163.0905, GNorm: 2.2161
[39/299] timecost: 63.36, lr: 0.000030, Train: (LOSS: 0.0675, MAE: 0.0675, RMSE: 0.1037, R2: 0.8363), Valid: (LOSS: 0.0827, MAE: 0.0827, RMSE: 0.1253, R2: 0.7602), PNorm: 162.8774, GNorm: 0.9038
[40/299] timecost: 63.24, lr: 0.000030, Train: (LOSS: 0.0676, MAE: 0.0676, RMSE: 0.1054, R2: 0.8264), Valid: (LOSS: 0.0818, MAE: 0.0818, RMSE: 0.1244, R2: 0.7625), PNorm: 162.6658, GNorm: 1.9971
[41/299] timecost: 63.24, lr: 0.000030, Train: (LOSS: 0.0662, MAE: 0.0662, RMSE: 0.1031, R2: 0.8315), Valid: (LOSS: 0.0844, MAE: 0.0844, RMSE: 0.1314, R2: 0.7324), PNorm: 162.4570, GNorm: 2.9061
[42/299] timecost: 63.40, lr: 0.000030, Train: (LOSS: 0.0638, MAE: 0.0638, RMSE: 0.0996, R2: 0.8445), Valid: (LOSS: 0.0773, MAE: 0.0773, RMSE: 0.1199, R2: 0.7788), PNorm: 162.2490, GNorm: 1.9736
[43/299] timecost: 63.18, lr: 0.000030, Train: (LOSS: 0.0654, MAE: 0.0654, RMSE: 0.1016, R2: 0.8408), Valid: (LOSS: 0.0828, MAE: 0.0828, RMSE: 0.1254, R2: 0.7587), PNorm: 162.0439, GNorm: 2.5368
[44/299] timecost: 65.29, lr: 0.000030, Train: (LOSS: 0.0601, MAE: 0.0601, RMSE: 0.0945, R2: 0.8573), Valid: (LOSS: 0.0751, MAE: 0.0751, RMSE: 0.1153, R2: 0.7971), PNorm: 161.8404, GNorm: 2.6325
[45/299] timecost: 65.55, lr: 0.000030, Train: (LOSS: 0.0594, MAE: 0.0594, RMSE: 0.0942, R2: 0.8646), Valid: (LOSS: 0.0786, MAE: 0.0786, RMSE: 0.1230, R2: 0.7671), PNorm: 161.6382, GNorm: 1.4665
[46/299] timecost: 65.15, lr: 0.000030, Train: (LOSS: 0.0598, MAE: 0.0598, RMSE: 0.0940, R2: 0.8656), Valid: (LOSS: 0.0761, MAE: 0.0761, RMSE: 0.1138, R2: 0.8061), PNorm: 161.4378, GNorm: 1.6472
[47/299] timecost: 65.34, lr: 0.000030, Train: (LOSS: 0.0587, MAE: 0.0587, RMSE: 0.0925, R2: 0.8664), Valid: (LOSS: 0.0740, MAE: 0.0740, RMSE: 0.1158, R2: 0.7930), PNorm: 161.2390, GNorm: 1.5897
[48/299] timecost: 65.53, lr: 0.000030, Train: (LOSS: 0.0560, MAE: 0.0560, RMSE: 0.0876, R2: 0.8778), Valid: (LOSS: 0.0739, MAE: 0.0739, RMSE: 0.1142, R2: 0.7942), PNorm: 161.0413, GNorm: 1.2872
[49/299] timecost: 65.20, lr: 0.000030, Train: (LOSS: 0.0555, MAE: 0.0555, RMSE: 0.0872, R2: 0.8797), Valid: (LOSS: 0.0683, MAE: 0.0683, RMSE: 0.1065, R2: 0.8211), PNorm: 160.8446, GNorm: 1.7837
[50/299] timecost: 65.63, lr: 0.000030, Train: (LOSS: 0.0531, MAE: 0.0531, RMSE: 0.0837, R2: 0.8919), Valid: (LOSS: 0.0689, MAE: 0.0689, RMSE: 0.1014, R2: 0.8364), PNorm: 160.6486, GNorm: 1.6408
[51/299] timecost: 65.67, lr: 0.000030, Train: (LOSS: 0.0518, MAE: 0.0518, RMSE: 0.0822, R2: 0.8935), Valid: (LOSS: 0.0648, MAE: 0.0648, RMSE: 0.1008, R2: 0.8412), PNorm: 160.4539, GNorm: 1.6663
[52/299] timecost: 65.65, lr: 0.000030, Train: (LOSS: 0.0512, MAE: 0.0512, RMSE: 0.0818, R2: 0.8952), Valid: (LOSS: 0.0681, MAE: 0.0681, RMSE: 0.0998, R2: 0.8465), PNorm: 160.2605, GNorm: 1.6933
[53/299] timecost: 65.53, lr: 0.000030, Train: (LOSS: 0.0497, MAE: 0.0497, RMSE: 0.0795, R2: 0.8985), Valid: (LOSS: 0.0739, MAE: 0.0739, RMSE: 0.1103, R2: 0.8111), PNorm: 160.0674, GNorm: 1.8282
[54/299] timecost: 65.36, lr: 0.000030, Train: (LOSS: 0.0491, MAE: 0.0491, RMSE: 0.0758, R2: 0.9067), Valid: (LOSS: 0.0657, MAE: 0.0657, RMSE: 0.0960, R2: 0.8624), PNorm: 159.8754, GNorm: 1.0960
[55/299] timecost: 65.26, lr: 0.000030, Train: (LOSS: 0.0471, MAE: 0.0471, RMSE: 0.0756, R2: 0.9109), Valid: (LOSS: 0.0624, MAE: 0.0624, RMSE: 0.0957, R2: 0.8554), PNorm: 159.6835, GNorm: 0.9145
[56/299] timecost: 65.17, lr: 0.000030, Train: (LOSS: 0.0465, MAE: 0.0465, RMSE: 0.0755, R2: 0.9064), Valid: (LOSS: 0.0610, MAE: 0.0610, RMSE: 0.0959, R2: 0.8525), PNorm: 159.4916, GNorm: 2.3498
[57/299] timecost: 65.23, lr: 0.000030, Train: (LOSS: 0.0466, MAE: 0.0466, RMSE: 0.0765, R2: 0.9018), Valid: (LOSS: 0.0609, MAE: 0.0609, RMSE: 0.0976, R2: 0.8501), PNorm: 159.3007, GNorm: 2.6610
[58/299] timecost: 65.29, lr: 0.000030, Train: (LOSS: 0.0446, MAE: 0.0446, RMSE: 0.0712, R2: 0.9175), Valid: (LOSS: 0.0650, MAE: 0.0650, RMSE: 0.0990, R2: 0.8494), PNorm: 159.1097, GNorm: 0.9145
[59/299] timecost: 65.70, lr: 0.000030, Train: (LOSS: 0.0448, MAE: 0.0448, RMSE: 0.0711, R2: 0.9172), Valid: (LOSS: 0.0593, MAE: 0.0593, RMSE: 0.0904, R2: 0.8713), PNorm: 158.9194, GNorm: 1.2788
[60/299] timecost: 65.22, lr: 0.000030, Train: (LOSS: 0.0441, MAE: 0.0441, RMSE: 0.0708, R2: 0.9167), Valid: (LOSS: 0.0636, MAE: 0.0636, RMSE: 0.0937, R2: 0.8634), PNorm: 158.7294, GNorm: 1.4191
[61/299] timecost: 65.61, lr: 0.000030, Train: (LOSS: 0.0427, MAE: 0.0427, RMSE: 0.0694, R2: 0.9228), Valid: (LOSS: 0.0614, MAE: 0.0614, RMSE: 0.0969, R2: 0.8504), PNorm: 158.5388, GNorm: 1.5754
[62/299] timecost: 63.80, lr: 0.000030, Train: (LOSS: 0.0424, MAE: 0.0424, RMSE: 0.0686, R2: 0.9243), Valid: (LOSS: 0.0607, MAE: 0.0607, RMSE: 0.0945, R2: 0.8594), PNorm: 158.3474, GNorm: 1.1216
[63/299] timecost: 63.20, lr: 0.000030, Train: (LOSS: 0.0414, MAE: 0.0414, RMSE: 0.0671, R2: 0.9255), Valid: (LOSS: 0.0561, MAE: 0.0561, RMSE: 0.0856, R2: 0.8885), PNorm: 158.1566, GNorm: 1.2273
[64/299] timecost: 65.12, lr: 0.000030, Train: (LOSS: 0.0405, MAE: 0.0405, RMSE: 0.0655, R2: 0.9316), Valid: (LOSS: 0.0608, MAE: 0.0608, RMSE: 0.0954, R2: 0.8609), PNorm: 157.9656, GNorm: 0.9335
[65/299] timecost: 64.34, lr: 0.000030, Train: (LOSS: 0.0404, MAE: 0.0404, RMSE: 0.0652, R2: 0.9286), Valid: (LOSS: 0.0649, MAE: 0.0649, RMSE: 0.1023, R2: 0.8368), PNorm: 157.7742, GNorm: 1.1097
[66/299] timecost: 64.61, lr: 0.000030, Train: (LOSS: 0.0417, MAE: 0.0417, RMSE: 0.0673, R2: 0.9268), Valid: (LOSS: 0.0608, MAE: 0.0608, RMSE: 0.0932, R2: 0.8630), PNorm: 157.5837, GNorm: 1.1387
[67/299] timecost: 64.56, lr: 0.000030, Train: (LOSS: 0.0396, MAE: 0.0396, RMSE: 0.0628, R2: 0.9330), Valid: (LOSS: 0.0567, MAE: 0.0567, RMSE: 0.0839, R2: 0.8930), PNorm: 157.3910, GNorm: 1.3482
[68/299] timecost: 63.94, lr: 0.000030, Train: (LOSS: 0.0382, MAE: 0.0382, RMSE: 0.0616, R2: 0.9355), Valid: (LOSS: 0.0620, MAE: 0.0620, RMSE: 0.0900, R2: 0.8747), PNorm: 157.1977, GNorm: 1.2541
[69/299] timecost: 65.20, lr: 0.000030, Train: (LOSS: 0.0381, MAE: 0.0381, RMSE: 0.0617, R2: 0.9369), Valid: (LOSS: 0.0547, MAE: 0.0547, RMSE: 0.0818, R2: 0.8948), PNorm: 157.0038, GNorm: 1.1659
[70/299] timecost: 65.31, lr: 0.000030, Train: (LOSS: 0.0381, MAE: 0.0381, RMSE: 0.0621, R2: 0.9384), Valid: (LOSS: 0.0554, MAE: 0.0554, RMSE: 0.0843, R2: 0.8881), PNorm: 156.8093, GNorm: 1.0612
[71/299] timecost: 65.43, lr: 0.000030, Train: (LOSS: 0.0376, MAE: 0.0376, RMSE: 0.0603, R2: 0.9395), Valid: (LOSS: 0.0554, MAE: 0.0554, RMSE: 0.0813, R2: 0.8988), PNorm: 156.6149, GNorm: 1.7452
[72/299] timecost: 65.38, lr: 0.000030, Train: (LOSS: 0.0363, MAE: 0.0363, RMSE: 0.0590, R2: 0.9421), Valid: (LOSS: 0.0558, MAE: 0.0558, RMSE: 0.0855, R2: 0.8865), PNorm: 156.4193, GNorm: 1.3148
[73/299] timecost: 65.59, lr: 0.000030, Train: (LOSS: 0.0369, MAE: 0.0369, RMSE: 0.0587, R2: 0.9423), Valid: (LOSS: 0.0550, MAE: 0.0550, RMSE: 0.0813, R2: 0.8969), PNorm: 156.2223, GNorm: 1.5527
[74/299] timecost: 65.56, lr: 0.000030, Train: (LOSS: 0.0361, MAE: 0.0361, RMSE: 0.0587, R2: 0.9445), Valid: (LOSS: 0.0509, MAE: 0.0509, RMSE: 0.0764, R2: 0.9075), PNorm: 156.0258, GNorm: 1.3167
[75/299] timecost: 65.40, lr: 0.000030, Train: (LOSS: 0.0355, MAE: 0.0355, RMSE: 0.0571, R2: 0.9444), Valid: (LOSS: 0.0520, MAE: 0.0520, RMSE: 0.0758, R2: 0.9096), PNorm: 155.8278, GNorm: 1.6685
[76/299] timecost: 65.29, lr: 0.000030, Train: (LOSS: 0.0351, MAE: 0.0351, RMSE: 0.0570, R2: 0.9444), Valid: (LOSS: 0.0518, MAE: 0.0518, RMSE: 0.0778, R2: 0.9047), PNorm: 155.6288, GNorm: 1.1206
[77/299] timecost: 65.25, lr: 0.000030, Train: (LOSS: 0.0338, MAE: 0.0338, RMSE: 0.0558, R2: 0.9493), Valid: (LOSS: 0.0492, MAE: 0.0492, RMSE: 0.0729, R2: 0.9155), PNorm: 155.4288, GNorm: 1.0649
[78/299] timecost: 65.32, lr: 0.000030, Train: (LOSS: 0.0333, MAE: 0.0333, RMSE: 0.0539, R2: 0.9492), Valid: (LOSS: 0.0536, MAE: 0.0536, RMSE: 0.0848, R2: 0.8920), PNorm: 155.2281, GNorm: 1.0769
[79/299] timecost: 65.92, lr: 0.000030, Train: (LOSS: 0.0336, MAE: 0.0336, RMSE: 0.0543, R2: 0.9502), Valid: (LOSS: 0.0532, MAE: 0.0532, RMSE: 0.0760, R2: 0.9092), PNorm: 155.0272, GNorm: 1.3633
[80/299] timecost: 65.55, lr: 0.000030, Train: (LOSS: 0.0326, MAE: 0.0326, RMSE: 0.0533, R2: 0.9516), Valid: (LOSS: 0.0494, MAE: 0.0494, RMSE: 0.0750, R2: 0.9117), PNorm: 154.8243, GNorm: 1.3609
[81/299] timecost: 66.38, lr: 0.000030, Train: (LOSS: 0.0322, MAE: 0.0322, RMSE: 0.0526, R2: 0.9508), Valid: (LOSS: 0.0504, MAE: 0.0504, RMSE: 0.0772, R2: 0.9091), PNorm: 154.6212, GNorm: 1.1164
[82/299] timecost: 65.68, lr: 0.000030, Train: (LOSS: 0.0336, MAE: 0.0336, RMSE: 0.0546, R2: 0.9513), Valid: (LOSS: 0.0528, MAE: 0.0528, RMSE: 0.0759, R2: 0.9135), PNorm: 154.4174, GNorm: 1.2926
[83/299] timecost: 65.26, lr: 0.000030, Train: (LOSS: 0.0344, MAE: 0.0344, RMSE: 0.0559, R2: 0.9457), Valid: (LOSS: 0.0534, MAE: 0.0534, RMSE: 0.0814, R2: 0.8996), PNorm: 154.2143, GNorm: 1.5032
[84/299] timecost: 65.11, lr: 0.000030, Train: (LOSS: 0.0394, MAE: 0.0394, RMSE: 0.0635, R2: 0.9255), Valid: (LOSS: 0.0524, MAE: 0.0524, RMSE: 0.0785, R2: 0.9051), PNorm: 154.0114, GNorm: 2.4860
[85/299] timecost: 65.27, lr: 0.000030, Train: (LOSS: 0.0328, MAE: 0.0328, RMSE: 0.0539, R2: 0.9509), Valid: (LOSS: 0.0482, MAE: 0.0482, RMSE: 0.0712, R2: 0.9204), PNorm: 153.8068, GNorm: 1.7240
[86/299] timecost: 64.82, lr: 0.000030, Train: (LOSS: 0.0319, MAE: 0.0319, RMSE: 0.0518, R2: 0.9545), Valid: (LOSS: 0.0517, MAE: 0.0517, RMSE: 0.0788, R2: 0.8995), PNorm: 153.6004, GNorm: 1.1405
[87/299] timecost: 63.03, lr: 0.000030, Train: (LOSS: 0.0300, MAE: 0.0300, RMSE: 0.0498, R2: 0.9570), Valid: (LOSS: 0.0479, MAE: 0.0479, RMSE: 0.0727, R2: 0.9177), PNorm: 153.3926, GNorm: 1.0621
[88/299] timecost: 62.97, lr: 0.000030, Train: (LOSS: 0.0310, MAE: 0.0310, RMSE: 0.0503, R2: 0.9573), Valid: (LOSS: 0.0497, MAE: 0.0497, RMSE: 0.0744, R2: 0.9144), PNorm: 153.1837, GNorm: 1.2893
[89/299] timecost: 62.92, lr: 0.000030, Train: (LOSS: 0.0324, MAE: 0.0324, RMSE: 0.0527, R2: 0.9538), Valid: (LOSS: 0.0497, MAE: 0.0497, RMSE: 0.0712, R2: 0.9206), PNorm: 152.9761, GNorm: 0.9722
[90/299] timecost: 63.17, lr: 0.000030, Train: (LOSS: 0.0295, MAE: 0.0295, RMSE: 0.0484, R2: 0.9603), Valid: (LOSS: 0.0451, MAE: 0.0451, RMSE: 0.0678, R2: 0.9282), PNorm: 152.7657, GNorm: 0.9649
[91/299] timecost: 62.92, lr: 0.000030, Train: (LOSS: 0.0289, MAE: 0.0289, RMSE: 0.0472, R2: 0.9618), Valid: (LOSS: 0.0496, MAE: 0.0496, RMSE: 0.0695, R2: 0.9258), PNorm: 152.5552, GNorm: 0.8122
[92/299] timecost: 62.91, lr: 0.000030, Train: (LOSS: 0.0292, MAE: 0.0292, RMSE: 0.0477, R2: 0.9609), Valid: (LOSS: 0.0494, MAE: 0.0494, RMSE: 0.0762, R2: 0.9105), PNorm: 152.3433, GNorm: 1.5542
[93/299] timecost: 63.11, lr: 0.000030, Train: (LOSS: 0.0295, MAE: 0.0295, RMSE: 0.0481, R2: 0.9591), Valid: (LOSS: 0.0450, MAE: 0.0450, RMSE: 0.0650, R2: 0.9348), PNorm: 152.1313, GNorm: 0.9796
[94/299] timecost: 62.69, lr: 0.000030, Train: (LOSS: 0.0291, MAE: 0.0291, RMSE: 0.0468, R2: 0.9623), Valid: (LOSS: 0.0462, MAE: 0.0462, RMSE: 0.0676, R2: 0.9294), PNorm: 151.9179, GNorm: 1.0066
[95/299] timecost: 62.82, lr: 0.000030, Train: (LOSS: 0.0287, MAE: 0.0287, RMSE: 0.0469, R2: 0.9642), Valid: (LOSS: 0.0490, MAE: 0.0490, RMSE: 0.0742, R2: 0.9164), PNorm: 151.7043, GNorm: 1.0160
[96/299] timecost: 63.17, lr: 0.000030, Train: (LOSS: 0.0303, MAE: 0.0303, RMSE: 0.0481, R2: 0.9612), Valid: (LOSS: 0.0477, MAE: 0.0477, RMSE: 0.0714, R2: 0.9200), PNorm: 151.4909, GNorm: 1.2942
[97/299] timecost: 63.36, lr: 0.000030, Train: (LOSS: 0.0297, MAE: 0.0297, RMSE: 0.0475, R2: 0.9611), Valid: (LOSS: 0.0472, MAE: 0.0472, RMSE: 0.0720, R2: 0.9184), PNorm: 151.2767, GNorm: 1.3038
[98/299] timecost: 63.70, lr: 0.000030, Train: (LOSS: 0.0278, MAE: 0.0278, RMSE: 0.0443, R2: 0.9653), Valid: (LOSS: 0.0456, MAE: 0.0456, RMSE: 0.0686, R2: 0.9270), PNorm: 151.0615, GNorm: 1.1544
