cuda available with GPU: Tesla V100-PCIE-16GB
==========Load Seed==========
set_random_seed
0
==========Training Start==========
Training Graphs:  2491
Valid Graphs:  277
Test Graphs:  1187
============Not pretrained weights used============
============Creating new layers============
============Creating Model============
Training Graphs Batches:  78
Valid Graphs Batches:  9
Test Graphs Batches:  37
[0/299] timecost: 61.96, lr: 0.000100, Train: (LOSS: 0.2103, MAE: 0.2103, RMSE: 0.2594, R2: 0.0487), Valid: (LOSS: 0.1752, MAE: 0.1752, RMSE: 0.2354, R2: 0.2147), PNorm: 187.0349, GNorm: 0.5000
[12/299] timecost: 59.88, lr: 0.000100, Train: (LOSS: 0.1003, MAE: 0.1003, RMSE: 0.1461, R2: 0.6979), Valid: (LOSS: 0.0829, MAE: 0.0829, RMSE: 0.1196, R2: 0.7800), PNorm: 187.3528, GNorm: 0.2857
[13/299] timecost: 59.17, lr: 0.000100, Train: (LOSS: 0.0965, MAE: 0.0965, RMSE: 0.1421, R2: 0.7034), Valid: (LOSS: 0.0940, MAE: 0.0940, RMSE: 0.1381, R2: 0.7095), PNorm: 187.3843, GNorm: 0.5000
[14/299] timecost: 60.10, lr: 0.000100, Train: (LOSS: 0.0908, MAE: 0.0908, RMSE: 0.1366, R2: 0.7230), Valid: (LOSS: 0.0896, MAE: 0.0896, RMSE: 0.1301, R2: 0.7453), PNorm: 187.4040, GNorm: 0.5000
[15/299] timecost: 59.67, lr: 0.000100, Train: (LOSS: 0.0849, MAE: 0.0849, RMSE: 0.1266, R2: 0.7646), Valid: (LOSS: 0.0964, MAE: 0.0964, RMSE: 0.1353, R2: 0.7184), PNorm: 187.4257, GNorm: 0.3879
[16/299] timecost: 59.74, lr: 0.000100, Train: (LOSS: 0.0794, MAE: 0.0794, RMSE: 0.1191, R2: 0.7873), Valid: (LOSS: 0.0732, MAE: 0.0732, RMSE: 0.1130, R2: 0.8096), PNorm: 187.4438, GNorm: 0.5000
[17/299] timecost: 60.80, lr: 0.000100, Train: (LOSS: 0.0780, MAE: 0.0780, RMSE: 0.1195, R2: 0.7860), Valid: (LOSS: 0.0745, MAE: 0.0745, RMSE: 0.1141, R2: 0.8086), PNorm: 187.4613, GNorm: 0.5000
[18/299] timecost: 64.63, lr: 0.000100, Train: (LOSS: 0.0719, MAE: 0.0719, RMSE: 0.1108, R2: 0.8202), Valid: (LOSS: 0.0735, MAE: 0.0735, RMSE: 0.1108, R2: 0.8197), PNorm: 187.4806, GNorm: 0.5000
[19/299] timecost: 64.49, lr: 0.000100, Train: (LOSS: 0.0700, MAE: 0.0700, RMSE: 0.1080, R2: 0.8272), Valid: (LOSS: 0.0712, MAE: 0.0712, RMSE: 0.1105, R2: 0.8170), PNorm: 187.4989, GNorm: 0.5000
[20/299] timecost: 64.74, lr: 0.000100, Train: (LOSS: 0.0681, MAE: 0.0681, RMSE: 0.1047, R2: 0.8332), Valid: (LOSS: 0.0681, MAE: 0.0681, RMSE: 0.1040, R2: 0.8348), PNorm: 187.5164, GNorm: 0.5000
[21/299] timecost: 64.44, lr: 0.000100, Train: (LOSS: 0.0663, MAE: 0.0663, RMSE: 0.1021, R2: 0.8445), Valid: (LOSS: 0.0618, MAE: 0.0618, RMSE: 0.0964, R2: 0.8540), PNorm: 187.5385, GNorm: 0.5000
[22/299] timecost: 64.72, lr: 0.000100, Train: (LOSS: 0.0612, MAE: 0.0612, RMSE: 0.0958, R2: 0.8609), Valid: (LOSS: 0.0633, MAE: 0.0633, RMSE: 0.1012, R2: 0.8501), PNorm: 187.5565, GNorm: 0.5000
[23/299] timecost: 61.30, lr: 0.000100, Train: (LOSS: 0.0619, MAE: 0.0619, RMSE: 0.0950, R2: 0.8635), Valid: (LOSS: 0.0670, MAE: 0.0670, RMSE: 0.1039, R2: 0.8313), PNorm: 187.5763, GNorm: 0.5000
[24/299] timecost: 60.85, lr: 0.000100, Train: (LOSS: 0.0564, MAE: 0.0564, RMSE: 0.0887, R2: 0.8813), Valid: (LOSS: 0.0596, MAE: 0.0596, RMSE: 0.0951, R2: 0.8595), PNorm: 187.5958, GNorm: 0.5000
[25/299] timecost: 61.03, lr: 0.000100, Train: (LOSS: 0.0541, MAE: 0.0541, RMSE: 0.0847, R2: 0.8927), Valid: (LOSS: 0.0596, MAE: 0.0596, RMSE: 0.0962, R2: 0.8510), PNorm: 187.6144, GNorm: 0.4010
[26/299] timecost: 61.17, lr: 0.000100, Train: (LOSS: 0.0530, MAE: 0.0530, RMSE: 0.0829, R2: 0.8959), Valid: (LOSS: 0.0573, MAE: 0.0573, RMSE: 0.0867, R2: 0.8830), PNorm: 187.6337, GNorm: 0.4806
[27/299] timecost: 60.78, lr: 0.000100, Train: (LOSS: 0.0502, MAE: 0.0502, RMSE: 0.0784, R2: 0.9071), Valid: (LOSS: 0.0526, MAE: 0.0526, RMSE: 0.0838, R2: 0.8886), PNorm: 187.6487, GNorm: 0.3951
[28/299] timecost: 60.99, lr: 0.000100, Train: (LOSS: 0.0513, MAE: 0.0513, RMSE: 0.0798, R2: 0.9018), Valid: (LOSS: 0.0529, MAE: 0.0529, RMSE: 0.0844, R2: 0.8764), PNorm: 187.6676, GNorm: 0.5000
[29/299] timecost: 61.45, lr: 0.000100, Train: (LOSS: 0.0501, MAE: 0.0501, RMSE: 0.0784, R2: 0.9034), Valid: (LOSS: 0.0494, MAE: 0.0494, RMSE: 0.0792, R2: 0.8987), PNorm: 187.6863, GNorm: 0.5000
[30/299] timecost: 61.16, lr: 0.000100, Train: (LOSS: 0.0473, MAE: 0.0473, RMSE: 0.0746, R2: 0.9132), Valid: (LOSS: 0.0521, MAE: 0.0521, RMSE: 0.0834, R2: 0.8904), PNorm: 187.7023, GNorm: 0.5000
[31/299] timecost: 61.31, lr: 0.000100, Train: (LOSS: 0.0448, MAE: 0.0448, RMSE: 0.0698, R2: 0.9245), Valid: (LOSS: 0.0583, MAE: 0.0583, RMSE: 0.0944, R2: 0.8537), PNorm: 187.7154, GNorm: 0.5000
[32/299] timecost: 61.42, lr: 0.000100, Train: (LOSS: 0.0462, MAE: 0.0462, RMSE: 0.0717, R2: 0.9243), Valid: (LOSS: 0.0487, MAE: 0.0487, RMSE: 0.0768, R2: 0.9078), PNorm: 187.7319, GNorm: 0.5000
[33/299] timecost: 62.34, lr: 0.000100, Train: (LOSS: 0.0443, MAE: 0.0443, RMSE: 0.0682, R2: 0.9250), Valid: (LOSS: 0.0498, MAE: 0.0498, RMSE: 0.0755, R2: 0.9089), PNorm: 187.7485, GNorm: 0.4533
[34/299] timecost: 62.27, lr: 0.000100, Train: (LOSS: 0.0431, MAE: 0.0431, RMSE: 0.0675, R2: 0.9276), Valid: (LOSS: 0.0530, MAE: 0.0530, RMSE: 0.0849, R2: 0.8834), PNorm: 187.7647, GNorm: 0.5000
[35/299] timecost: 62.82, lr: 0.000100, Train: (LOSS: 0.0422, MAE: 0.0422, RMSE: 0.0663, R2: 0.9326), Valid: (LOSS: 0.0486, MAE: 0.0486, RMSE: 0.0784, R2: 0.8996), PNorm: 187.7773, GNorm: 0.5000
[36/299] timecost: 63.27, lr: 0.000100, Train: (LOSS: 0.0413, MAE: 0.0413, RMSE: 0.0650, R2: 0.9358), Valid: (LOSS: 0.0470, MAE: 0.0470, RMSE: 0.0756, R2: 0.9112), PNorm: 187.7904, GNorm: 0.5000
[37/299] timecost: 62.90, lr: 0.000100, Train: (LOSS: 0.0406, MAE: 0.0406, RMSE: 0.0630, R2: 0.9388), Valid: (LOSS: 0.0471, MAE: 0.0471, RMSE: 0.0761, R2: 0.9038), PNorm: 187.8055, GNorm: 0.5000
[38/299] timecost: 61.43, lr: 0.000100, Train: (LOSS: 0.0388, MAE: 0.0388, RMSE: 0.0609, R2: 0.9424), Valid: (LOSS: 0.0480, MAE: 0.0480, RMSE: 0.0816, R2: 0.8917), PNorm: 187.8199, GNorm: 0.4375
[39/299] timecost: 61.40, lr: 0.000100, Train: (LOSS: 0.0401, MAE: 0.0401, RMSE: 0.0620, R2: 0.9411), Valid: (LOSS: 0.0476, MAE: 0.0476, RMSE: 0.0803, R2: 0.8996), PNorm: 187.8340, GNorm: 0.4568
[40/299] timecost: 60.86, lr: 0.000100, Train: (LOSS: 0.0369, MAE: 0.0369, RMSE: 0.0563, R2: 0.9485), Valid: (LOSS: 0.0494, MAE: 0.0494, RMSE: 0.0826, R2: 0.8915), PNorm: 187.8480, GNorm: 0.5000
[41/299] timecost: 61.15, lr: 0.000100, Train: (LOSS: 0.0372, MAE: 0.0372, RMSE: 0.0604, R2: 0.9367), Valid: (LOSS: 0.0495, MAE: 0.0495, RMSE: 0.0811, R2: 0.8957), PNorm: 187.8641, GNorm: 0.5000
[42/299] timecost: 61.24, lr: 0.000100, Train: (LOSS: 0.0370, MAE: 0.0370, RMSE: 0.0593, R2: 0.9452), Valid: (LOSS: 0.0479, MAE: 0.0479, RMSE: 0.0795, R2: 0.8977), PNorm: 187.8793, GNorm: 0.5000
[43/299] timecost: 62.42, lr: 0.000100, Train: (LOSS: 0.0365, MAE: 0.0365, RMSE: 0.0577, R2: 0.9471), Valid: (LOSS: 0.0464, MAE: 0.0464, RMSE: 0.0796, R2: 0.8973), PNorm: 187.8915, GNorm: 0.5000
[44/299] timecost: 62.82, lr: 0.000100, Train: (LOSS: 0.0357, MAE: 0.0357, RMSE: 0.0573, R2: 0.9455), Valid: (LOSS: 0.0451, MAE: 0.0451, RMSE: 0.0791, R2: 0.8971), PNorm: 187.9053, GNorm: 0.4116
[45/299] timecost: 63.07, lr: 0.000100, Train: (LOSS: 0.0351, MAE: 0.0351, RMSE: 0.0556, R2: 0.9513), Valid: (LOSS: 0.0459, MAE: 0.0459, RMSE: 0.0789, R2: 0.8975), PNorm: 187.9188, GNorm: 0.5000
[46/299] timecost: 62.41, lr: 0.000100, Train: (LOSS: 0.0341, MAE: 0.0341, RMSE: 0.0533, R2: 0.9549), Valid: (LOSS: 0.0480, MAE: 0.0480, RMSE: 0.0826, R2: 0.8909), PNorm: 187.9303, GNorm: 0.4972
[47/299] timecost: 62.89, lr: 0.000100, Train: (LOSS: 0.0346, MAE: 0.0346, RMSE: 0.0543, R2: 0.9547), Valid: (LOSS: 0.0443, MAE: 0.0443, RMSE: 0.0754, R2: 0.9091), PNorm: 187.9437, GNorm: 0.3988
[48/299] timecost: 62.69, lr: 0.000100, Train: (LOSS: 0.0323, MAE: 0.0323, RMSE: 0.0512, R2: 0.9574), Valid: (LOSS: 0.0459, MAE: 0.0459, RMSE: 0.0766, R2: 0.9104), PNorm: 187.9564, GNorm: 0.3435
[49/299] timecost: 63.18, lr: 0.000100, Train: (LOSS: 0.0322, MAE: 0.0322, RMSE: 0.0514, R2: 0.9571), Valid: (LOSS: 0.0453, MAE: 0.0453, RMSE: 0.0778, R2: 0.9048), PNorm: 187.9679, GNorm: 0.4054
[50/299] timecost: 62.82, lr: 0.000100, Train: (LOSS: 0.0328, MAE: 0.0328, RMSE: 0.0516, R2: 0.9571), Valid: (LOSS: 0.0452, MAE: 0.0452, RMSE: 0.0791, R2: 0.8971), PNorm: 187.9797, GNorm: 0.4229
[51/299] timecost: 62.63, lr: 0.000100, Train: (LOSS: 0.0321, MAE: 0.0321, RMSE: 0.0520, R2: 0.9560), Valid: (LOSS: 0.0461, MAE: 0.0461, RMSE: 0.0788, R2: 0.9003), PNorm: 187.9918, GNorm: 0.5000
[52/299] timecost: 62.32, lr: 0.000100, Train: (LOSS: 0.0308, MAE: 0.0308, RMSE: 0.0493, R2: 0.9603), Valid: (LOSS: 0.0463, MAE: 0.0463, RMSE: 0.0813, R2: 0.8945), PNorm: 188.0021, GNorm: 0.4965
[53/299] timecost: 61.87, lr: 0.000100, Train: (LOSS: 0.0304, MAE: 0.0304, RMSE: 0.0486, R2: 0.9615), Valid: (LOSS: 0.0417, MAE: 0.0417, RMSE: 0.0711, R2: 0.9183), PNorm: 188.0138, GNorm: 0.4169
[54/299] timecost: 62.25, lr: 0.000100, Train: (LOSS: 0.0313, MAE: 0.0313, RMSE: 0.0501, R2: 0.9586), Valid: (LOSS: 0.0455, MAE: 0.0455, RMSE: 0.0773, R2: 0.9002), PNorm: 188.0284, GNorm: 0.5000
[55/299] timecost: 62.50, lr: 0.000100, Train: (LOSS: 0.0290, MAE: 0.0290, RMSE: 0.0469, R2: 0.9623), Valid: (LOSS: 0.0426, MAE: 0.0426, RMSE: 0.0774, R2: 0.9005), PNorm: 188.0398, GNorm: 0.4669
[56/299] timecost: 61.67, lr: 0.000100, Train: (LOSS: 0.0286, MAE: 0.0286, RMSE: 0.0458, R2: 0.9646), Valid: (LOSS: 0.0408, MAE: 0.0408, RMSE: 0.0747, R2: 0.9100), PNorm: 188.0508, GNorm: 0.4699
[57/299] timecost: 61.45, lr: 0.000100, Train: (LOSS: 0.0286, MAE: 0.0286, RMSE: 0.0456, R2: 0.9656), Valid: (LOSS: 0.0451, MAE: 0.0451, RMSE: 0.0801, R2: 0.8917), PNorm: 188.0602, GNorm: 0.5000
[58/299] timecost: 61.58, lr: 0.000100, Train: (LOSS: 0.0284, MAE: 0.0284, RMSE: 0.0467, R2: 0.9646), Valid: (LOSS: 0.0447, MAE: 0.0447, RMSE: 0.0760, R2: 0.9064), PNorm: 188.0727, GNorm: 0.3865
[59/299] timecost: 61.29, lr: 0.000100, Train: (LOSS: 0.0282, MAE: 0.0282, RMSE: 0.0459, R2: 0.9634), Valid: (LOSS: 0.0454, MAE: 0.0454, RMSE: 0.0840, R2: 0.8853), PNorm: 188.0826, GNorm: 0.3756
[60/299] timecost: 61.19, lr: 0.000100, Train: (LOSS: 0.0294, MAE: 0.0294, RMSE: 0.0482, R2: 0.9618), Valid: (LOSS: 0.0446, MAE: 0.0446, RMSE: 0.0726, R2: 0.9156), PNorm: 188.0962, GNorm: 0.5000
[61/299] timecost: 61.40, lr: 0.000100, Train: (LOSS: 0.0294, MAE: 0.0294, RMSE: 0.0471, R2: 0.9625), Valid: (LOSS: 0.0438, MAE: 0.0438, RMSE: 0.0721, R2: 0.9109), PNorm: 188.1113, GNorm: 0.4477
[62/299] timecost: 61.03, lr: 0.000100, Train: (LOSS: 0.0281, MAE: 0.0281, RMSE: 0.0463, R2: 0.9638), Valid: (LOSS: 0.0434, MAE: 0.0434, RMSE: 0.0760, R2: 0.9065), PNorm: 188.1260, GNorm: 0.5000
[63/299] timecost: 61.14, lr: 0.000100, Train: (LOSS: 0.0277, MAE: 0.0277, RMSE: 0.0444, R2: 0.9665), Valid: (LOSS: 0.0425, MAE: 0.0425, RMSE: 0.0755, R2: 0.9041), PNorm: 188.1378, GNorm: 0.4740
[64/299] timecost: 61.25, lr: 0.000100, Train: (LOSS: 0.0261, MAE: 0.0261, RMSE: 0.0425, R2: 0.9687), Valid: (LOSS: 0.0409, MAE: 0.0409, RMSE: 0.0724, R2: 0.9136), PNorm: 188.1486, GNorm: 0.4565
[65/299] timecost: 61.44, lr: 0.000100, Train: (LOSS: 0.0268, MAE: 0.0268, RMSE: 0.0445, R2: 0.9668), Valid: (LOSS: 0.0433, MAE: 0.0433, RMSE: 0.0765, R2: 0.9042), PNorm: 188.1592, GNorm: 0.4898
[66/299] timecost: 61.26, lr: 0.000100, Train: (LOSS: 0.0257, MAE: 0.0257, RMSE: 0.0422, R2: 0.9704), Valid: (LOSS: 0.0448, MAE: 0.0448, RMSE: 0.0792, R2: 0.8973), PNorm: 188.1704, GNorm: 0.5000
[67/299] timecost: 61.15, lr: 0.000100, Train: (LOSS: 0.0263, MAE: 0.0263, RMSE: 0.0423, R2: 0.9690), Valid: (LOSS: 0.0427, MAE: 0.0427, RMSE: 0.0744, R2: 0.9114), PNorm: 188.1814, GNorm: 0.5000
[68/299] timecost: 61.47, lr: 0.000100, Train: (LOSS: 0.0256, MAE: 0.0256, RMSE: 0.0424, R2: 0.9684), Valid: (LOSS: 0.0422, MAE: 0.0422, RMSE: 0.0748, R2: 0.9072), PNorm: 188.1930, GNorm: 0.5000
[69/299] timecost: 59.62, lr: 0.000100, Train: (LOSS: 0.0249, MAE: 0.0249, RMSE: 0.0409, R2: 0.9713), Valid: (LOSS: 0.0443, MAE: 0.0443, RMSE: 0.0768, R2: 0.9021), PNorm: 188.2027, GNorm: 0.4365
[70/299] timecost: 59.00, lr: 0.000100, Train: (LOSS: 0.0245, MAE: 0.0245, RMSE: 0.0401, R2: 0.9712), Valid: (LOSS: 0.0425, MAE: 0.0425, RMSE: 0.0727, R2: 0.9158), PNorm: 188.2144, GNorm: 0.4622
[71/299] timecost: 58.81, lr: 0.000100, Train: (LOSS: 0.0249, MAE: 0.0249, RMSE: 0.0410, R2: 0.9714), Valid: (LOSS: 0.0436, MAE: 0.0436, RMSE: 0.0740, R2: 0.9116), PNorm: 188.2302, GNorm: 0.3577
Epoch 00073: reducing learning rate of group 0 to 8.5000e-05.
[72/299] timecost: 59.55, lr: 0.000085, Train: (LOSS: 0.0249, MAE: 0.0249, RMSE: 0.0414, R2: 0.9716), Valid: (LOSS: 0.0422, MAE: 0.0422, RMSE: 0.0719, R2: 0.9173), PNorm: 188.2409, GNorm: 0.3907
[73/299] timecost: 60.85, lr: 0.000085, Train: (LOSS: 0.0233, MAE: 0.0233, RMSE: 0.0390, R2: 0.9736), Valid: (LOSS: 0.0428, MAE: 0.0428, RMSE: 0.0721, R2: 0.9160), PNorm: 188.2505, GNorm: 0.4558
[74/299] timecost: 61.00, lr: 0.000085, Train: (LOSS: 0.0230, MAE: 0.0230, RMSE: 0.0387, R2: 0.9740), Valid: (LOSS: 0.0399, MAE: 0.0399, RMSE: 0.0693, R2: 0.9228), PNorm: 188.2573, GNorm: 0.3644
[75/299] timecost: 60.99, lr: 0.000085, Train: (LOSS: 0.0225, MAE: 0.0225, RMSE: 0.0378, R2: 0.9724), Valid: (LOSS: 0.0410, MAE: 0.0410, RMSE: 0.0746, R2: 0.9073), PNorm: 188.2655, GNorm: 0.4148
[76/299] timecost: 61.14, lr: 0.000085, Train: (LOSS: 0.0228, MAE: 0.0228, RMSE: 0.0385, R2: 0.9731), Valid: (LOSS: 0.0444, MAE: 0.0444, RMSE: 0.0769, R2: 0.9028), PNorm: 188.2758, GNorm: 0.4287
[77/299] timecost: 61.30, lr: 0.000085, Train: (LOSS: 0.0233, MAE: 0.0233, RMSE: 0.0381, R2: 0.9747), Valid: (LOSS: 0.0411, MAE: 0.0411, RMSE: 0.0689, R2: 0.9242), PNorm: 188.2853, GNorm: 0.5000
[78/299] timecost: 62.43, lr: 0.000085, Train: (LOSS: 0.0224, MAE: 0.0224, RMSE: 0.0375, R2: 0.9744), Valid: (LOSS: 0.0418, MAE: 0.0418, RMSE: 0.0746, R2: 0.9108), PNorm: 188.2936, GNorm: 0.5000
[79/299] timecost: 61.84, lr: 0.000085, Train: (LOSS: 0.0224, MAE: 0.0224, RMSE: 0.0379, R2: 0.9712), Valid: (LOSS: 0.0408, MAE: 0.0408, RMSE: 0.0694, R2: 0.9225), PNorm: 188.3040, GNorm: 0.5000
[80/299] timecost: 61.55, lr: 0.000085, Train: (LOSS: 0.0220, MAE: 0.0220, RMSE: 0.0374, R2: 0.9741), Valid: (LOSS: 0.0406, MAE: 0.0406, RMSE: 0.0732, R2: 0.9102), PNorm: 188.3122, GNorm: 0.4012
[81/299] timecost: 61.37, lr: 0.000085, Train: (LOSS: 0.0214, MAE: 0.0214, RMSE: 0.0358, R2: 0.9769), Valid: (LOSS: 0.0434, MAE: 0.0434, RMSE: 0.0725, R2: 0.9144), PNorm: 188.3209, GNorm: 0.5000
[82/299] timecost: 62.78, lr: 0.000085, Train: (LOSS: 0.0214, MAE: 0.0214, RMSE: 0.0365, R2: 0.9770), Valid: (LOSS: 0.0411, MAE: 0.0411, RMSE: 0.0720, R2: 0.9127), PNorm: 188.3313, GNorm: 0.5000
[83/299] timecost: 61.97, lr: 0.000085, Train: (LOSS: 0.0208, MAE: 0.0208, RMSE: 0.0354, R2: 0.9764), Valid: (LOSS: 0.0431, MAE: 0.0431, RMSE: 0.0763, R2: 0.9045), PNorm: 188.3402, GNorm: 0.3539
[84/299] timecost: 62.34, lr: 0.000085, Train: (LOSS: 0.0216, MAE: 0.0216, RMSE: 0.0368, R2: 0.9764), Valid: (LOSS: 0.0430, MAE: 0.0430, RMSE: 0.0719, R2: 0.9160), PNorm: 188.3492, GNorm: 0.4893
[85/299] timecost: 61.31, lr: 0.000085, Train: (LOSS: 0.0211, MAE: 0.0211, RMSE: 0.0362, R2: 0.9772), Valid: (LOSS: 0.0400, MAE: 0.0400, RMSE: 0.0720, R2: 0.9131), PNorm: 188.3592, GNorm: 0.3965
[86/299] timecost: 59.31, lr: 0.000085, Train: (LOSS: 0.0208, MAE: 0.0208, RMSE: 0.0358, R2: 0.9778), Valid: (LOSS: 0.0418, MAE: 0.0418, RMSE: 0.0678, R2: 0.9250), PNorm: 188.3661, GNorm: 0.3854
[87/299] timecost: 59.58, lr: 0.000085, Train: (LOSS: 0.0205, MAE: 0.0205, RMSE: 0.0348, R2: 0.9784), Valid: (LOSS: 0.0433, MAE: 0.0433, RMSE: 0.0774, R2: 0.9007), PNorm: 188.3762, GNorm: 0.4613
[88/299] timecost: 60.16, lr: 0.000085, Train: (LOSS: 0.0209, MAE: 0.0209, RMSE: 0.0353, R2: 0.9776), Valid: (LOSS: 0.0433, MAE: 0.0433, RMSE: 0.0758, R2: 0.9078), PNorm: 188.3885, GNorm: 0.4774
[89/299] timecost: 59.05, lr: 0.000085, Train: (LOSS: 0.0203, MAE: 0.0203, RMSE: 0.0348, R2: 0.9782), Valid: (LOSS: 0.0445, MAE: 0.0445, RMSE: 0.0783, R2: 0.8982), PNorm: 188.3976, GNorm: 0.5000
Epoch 00091: reducing learning rate of group 0 to 7.2250e-05.
[90/299] timecost: 59.25, lr: 0.000072, Train: (LOSS: 0.0203, MAE: 0.0203, RMSE: 0.0352, R2: 0.9772), Valid: (LOSS: 0.0411, MAE: 0.0411, RMSE: 0.0713, R2: 0.9151), PNorm: 188.4060, GNorm: 0.4305
[91/299] timecost: 59.22, lr: 0.000072, Train: (LOSS: 0.0196, MAE: 0.0196, RMSE: 0.0339, R2: 0.9797), Valid: (LOSS: 0.0402, MAE: 0.0402, RMSE: 0.0706, R2: 0.9169), PNorm: 188.4138, GNorm: 0.4425
[92/299] timecost: 59.10, lr: 0.000072, Train: (LOSS: 0.0198, MAE: 0.0198, RMSE: 0.0338, R2: 0.9791), Valid: (LOSS: 0.0415, MAE: 0.0415, RMSE: 0.0723, R2: 0.9137), PNorm: 188.4218, GNorm: 0.4002
[93/299] timecost: 59.20, lr: 0.000072, Train: (LOSS: 0.0182, MAE: 0.0182, RMSE: 0.0324, R2: 0.9810), Valid: (LOSS: 0.0403, MAE: 0.0403, RMSE: 0.0711, R2: 0.9164), PNorm: 188.4261, GNorm: 0.4030
[94/299] timecost: 58.95, lr: 0.000072, Train: (LOSS: 0.0179, MAE: 0.0179, RMSE: 0.0315, R2: 0.9805), Valid: (LOSS: 0.0411, MAE: 0.0411, RMSE: 0.0710, R2: 0.9173), PNorm: 188.4325, GNorm: 0.4180
[95/299] timecost: 59.12, lr: 0.000072, Train: (LOSS: 0.0184, MAE: 0.0184, RMSE: 0.0322, R2: 0.9807), Valid: (LOSS: 0.0416, MAE: 0.0416, RMSE: 0.0727, R2: 0.9134), PNorm: 188.4395, GNorm: 0.4206
[96/299] timecost: 58.97, lr: 0.000072, Train: (LOSS: 0.0181, MAE: 0.0181, RMSE: 0.0322, R2: 0.9812), Valid: (LOSS: 0.0399, MAE: 0.0399, RMSE: 0.0673, R2: 0.9237), PNorm: 188.4451, GNorm: 0.4242
[97/299] timecost: 58.69, lr: 0.000072, Train: (LOSS: 0.0177, MAE: 0.0177, RMSE: 0.0322, R2: 0.9808), Valid: (LOSS: 0.0406, MAE: 0.0406, RMSE: 0.0695, R2: 0.9212), PNorm: 188.4519, GNorm: 0.5000
[98/299] timecost: 59.45, lr: 0.000072, Train: (LOSS: 0.0169, MAE: 0.0169, RMSE: 0.0303, R2: 0.9821), Valid: (LOSS: 0.0409, MAE: 0.0409, RMSE: 0.0687, R2: 0.9234), PNorm: 188.4591, GNorm: 0.5000
