,r,a,p,target,t5,Our,label
21,C[C@H]1CN(C(=O)OC(C)(C)C)CCN1.Clc1ccc(Br)cc1,CC(C)(C)[O-].Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,C[C@H]1CN(C(=O)OC(C)(C)C)CCN1c1ccc(Cl)cc1,50.900001525878906,50.80052185058594,74.84434509277344,55
22,CC(C)(C)OC(=O)NCC1CCNC1.FC(F)(F)c1ccc(Br)cc1,CC(C)(C)[O-].Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,CC(C)(C)OC(=O)NCC1CCN(c2ccc(C(F)(F)F)cc2)C1,58.09999847412109,49.33562469482422,66.24797821044922,55
23,C1CN2CCC(CC2)N1.O=C1c2ccccc2-c2ccc(Br)cc21,CC(C)(C)[O-].Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,O=C1c2ccccc2-c2ccc(N3CCN4CCC3CC4)cc21,43.0,41.26372146606445,49.83705139160156,55
24,CC(C)(C)OC(=O)N1CCNCC1.Fc1ccc(C2CC(C(F)(F)C(F)(F)F)=NN2c2cccc(Br)c2)c(F)c1,CC(C)(C)[O-].Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,CC(C)(C)OC(=O)N1CCN(c2cccc(N3N=C(C(F)(F)C(F)(F)F)CC3c3ccc(F)cc3F)c2)CC1,48.70000076293945,82.47442626953125,58.040016174316406,55
25,CC(C)(C)OC(=O)N1CCNCC1.FC(F)(F)c1ccc(Br)cc1,CC(C)(C)[O-].Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,CC(C)(C)OC(=O)N1CCN(c2ccc(C(F)(F)F)cc2)CC1,78.0999984741211,49.14091873168945,66.97337341308594,55
26,C#CCCCO.Cc1ccc(S(=O)(=O)Cl)cc1,CCN(CC)CC.ClCCl,C#CCCCOS(=O)(=O)c1ccc(C)cc1,87.0,64.83160400390625,77.03117370605469,34
27,Cc1ccc(S(=O)(=O)Cl)cc1.OCCCF,CCN(CC)CC.ClCCl,Cc1ccc(S(=O)(=O)OCCCF)cc1,92.0999984741211,91.54969787597656,71.94588470458984,34
28,O=C(OCc1ccccc1)N1CCC(O)CC1.O=S(=O)(Cl)c1ccccc1,CCN(CC)CC.ClCCl,O=C(OCc1ccccc1)N1CCC(OS(=O)(=O)c2ccccc2)CC1,77.0,50.81951141357422,83.27051544189453,34
29,Cc1ccc(S(=O)(=O)Cl)cc1.OCC1COc2ccccc2O1,CCN(CC)CC.ClCCl,Cc1ccc(S(=O)(=O)OCC2COc3ccccc3O2)cc1,66.0,90.9802703857422,76.17784118652344,34
30,Cc1ccc(S(=O)(=O)Cl)cc1.O[C@H]1CCOC1,CCN(CC)CC.ClCCl,Cc1ccc(S(=O)(=O)O[C@H]2CCOC2)cc1,90.5,94.78515625,71.7032241821289,34
31,Cc1ccc(S(=O)(=O)Cl)cc1.O=C1NCC(CO)O1,CCN(CC)CC.ClCCl,Cc1ccc(S(=O)(=O)OCC2CNC(=O)O2)cc1,80.0,52.91950607299805,67.23677062988281,34
32,Cc1ccc(S(=O)(=O)Cl)cc1.OCCn1cc(I)cn1,CCN(CC)CC.ClCCl,Cc1ccc(S(=O)(=O)OCCn2cc(I)cn2)cc1,92.9000015258789,41.38270950317383,76.88165283203125,34
33,CCOC(=O)COc1ccc(CCO)cc1OC.Cc1ccc(S(=O)(=O)Cl)cc1,CCN(CC)CC.ClCCl,CCOC(=O)COc1ccc(CCOS(=O)(=O)c2ccc(C)cc2)cc1OC,83.0,66.04253387451172,73.26034545898438,34
34,Cc1ccc(S(=O)(=O)Cl)cc1.O=[N+]([O-])c1ccc(OCCCO)cc1CS(=O)(=O)c1cccc2ccccc12,CCN(CC)CC.ClCCl,Cc1ccc(S(=O)(=O)OCCCOc2ccc([N+](=O)[O-])c(CS(=O)(=O)c3cccc4ccccc34)c2)cc1,73.0,82.83589172363281,64.37450408935547,34
35,Cc1ccc(S(=O)(=O)Cl)cc1.O=Cc1cc(I)cn1CCO,CCN(CC)CC.ClCCl.O,Cc1ccc(S(=O)(=O)OCCn2cc(I)cc2C=O)cc1,72.19999694824219,38.33725357055664,76.95653533935547,34
36,Cc1ccc(S(=O)(=O)Cl)cc1.OCCOCC(F)(F)F,CCN(CC)CC.ClCCl.O,Cc1ccc(S(=O)(=O)OCCOCC(F)(F)F)cc1,60.09999847412109,68.2325668334961,68.29388427734375,34
37,CCOC(=O)[C@H](CCO)OC(C)=O.Cc1ccc(S(=O)(=O)Cl)cc1,CCOC(C)=O.O.c1ccncc1,CCOC(=O)[C@H](CCOS(=O)(=O)c1ccc(C)cc1)OC(C)=O,89.30000305175781,86.53898620605469,77.56388854980469,34
38,COCCOCCOCCO.Cc1ccc(S(=O)(=O)Cl)cc1,CCOC(C)=O.O.c1ccncc1,COCCOCCOCCOS(=O)(=O)c1ccc(C)cc1,79.0999984741211,85.77442932128906,74.01105499267578,34
39,Cc1ccc(S(=O)(=O)Cl)cc1.OCCCCCCCCCCCCCCCc1ccc(I)cc1,CN(C)c1ccncc1.ClCCl,Cc1ccc(S(=O)(=O)OCCCCCCCCCCCCCCCc2ccc(I)cc2)cc1,94.5999984741211,55.39208221435547,77.33601379394531,34
40,Cc1ccc(S(=O)(=O)Cl)cc1.OCC1(C(F)(F)F)CC1,CN(C)c1ccncc1.ClCCl,Cc1ccc(S(=O)(=O)OCC2(C(F)(F)F)CC2)cc1,81.30000305175781,58.3312873840332,73.30018615722656,34
41,Cc1ccc(S(=O)(=O)Cl)cc1.OCC12CCC(c3ccccc3)(CC1)CC2,CN(C)c1ccncc1.ClCCl.c1ccncc1,Cc1ccc(S(=O)(=O)OCC23CCC(c4ccccc4)(CC2)CC3)cc1,89.0999984741211,84.7501220703125,75.05372619628906,34
42,COc1ccc2c(c1)C=Cc1ccccc1C2CO.Cc1ccc(S(=O)(=O)Cl)cc1,CN(C)c1ccncc1.ClCCl.c1ccncc1,COc1ccc2c(c1)C=Cc1ccccc1C2COS(=O)(=O)c1ccc(C)cc1,79.80000305175781,87.56137084960938,83.46548461914062,34
43,CC(C)Oc1cc(C(=O)Nc2ccn(C)n2)cc2c1CC(CO)O2.Cc1ccc(S(=O)(=O)Cl)cc1,CN(C)c1ccncc1.c1ccncc1,Cc1ccc(S(=O)(=O)OCC2Cc3c(OC(C)C)cc(C(=O)Nc4ccn(C)n4)cc3O2)cc1,78.0,57.12339782714844,73.70877075195312,34
44,C=CCCC(C)C[C@H](C)O.Cc1ccc(S(=O)(=O)Cl)cc1,CN(C)c1ccncc1.c1ccncc1,C=CCCC(C)C[C@H](C)OS(=O)(=O)c1ccc(C)cc1,63.70000076293945,82.11114501953125,77.15044403076172,34
45,COc1ccc(CCO[C@H]2CCCC[C@H]2O)cc1OC.O=[N+]([O-])c1ccc(S(=O)(=O)Cl)cc1,ClCCl.c1ccncc1,COc1ccc(CCO[C@H]2CCCC[C@H]2OS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1OC,72.5,61.77824020385742,80.36714172363281,34
46,CC(C)(C)OC(=O)Nc1ccc(CCO)cc1.Cc1ccc(S(=O)(=O)Cl)cc1,ClCCl.c1ccncc1,Cc1ccc(S(=O)(=O)OCCc2ccc(NC(=O)OC(C)(C)C)cc2)cc1,97.8000030517578,49.65371322631836,76.07142639160156,34
47,Cc1ccc(S(=O)(=O)Cl)cc1.OCCCCCOc1nnnn1-c1ccccc1,ClCCl.c1ccncc1,Cc1ccc(S(=O)(=O)OCCCCCOc2nnnn2-c2ccccc2)cc1,54.0,57.76249313354492,71.77040100097656,34
48,O=[N+]([O-])c1ccc(S(=O)(=O)Cl)cc1.[N-]=[N+]=N[C@@H]1CCCC[C@H]1O,ClCCl.c1ccncc1,[N-]=[N+]=N[C@@H]1CCCC[C@H]1OS(=O)(=O)c1ccc([N+](=O)[O-])cc1,72.4000015258789,90.76073455810548,79.4285659790039,34
49,Cc1ccc(S(=O)(=O)Cl)cc1.Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)NC(C)(C)CO)cc3)n2)n1C,O.c1ccncc1,Cc1ccc(S(=O)(=O)OCC(C)(C)NS(=O)(=O)c2ccc(Nc3nccc(-c4cnc(C)n4C)n3)cc2)cc1,60.09999847412109,79.76627349853516,62.00724411010742,34
50,Cc1ccc(S(=O)(=O)Cl)cc1.O=[N+]([O-])c1ccc2c(c1)O[C@@H](CO)CO2,O.c1ccncc1,Cc1ccc(S(=O)(=O)OC[C@H]2COc3ccc([N+](=O)[O-])cc3O2)cc1,98.0,80.42527770996094,75.27339172363281,34
51,CCCCCC[C@@H](F)CO.Cc1ccc(S(=O)(=O)Cl)cc1,O.c1ccncc1,CCCCCC[C@@H](F)COS(=O)(=O)c1ccc(C)cc1,92.8000030517578,97.28052520751952,78.30340576171875,34
52,COCCOCCO.Cc1ccc(S(=O)(=O)Cl)cc1,O.c1ccncc1,COCCOCCOS(=O)(=O)c1ccc(C)cc1,98.4000015258789,95.4565200805664,73.64051055908203,34
53,CO[C@]12C[C@@H](CO)CN(C)[C@@H]1Cc1cn(C(C)(C)C)c3cccc2c13.Cc1ccc(S(=O)(=O)Cl)cc1,O.c1ccncc1,CO[C@]12C[C@@H](COS(=O)(=O)c3ccc(C)cc3)CN(C)[C@@H]1Cc1cn(C(C)(C)C)c3cccc2c13,76.5999984741211,77.54548645019531,72.82413482666016,34
54,CCCC[C@H]1CCC(O)C1.Cc1ccc(S(=O)(=O)Cl)cc1,c1ccncc1,CCCC[C@H]1CCC(OS(=O)(=O)c2ccc(C)cc2)C1,97.0,89.66719055175781,79.59669494628906,34
55,Cc1ccc(S(=O)(=O)Cl)cc1.OC1CCOC1,c1ccncc1,Cc1ccc(S(=O)(=O)OC2CCOC2)cc1,80.30000305175781,30.765527725219727,67.38453674316406,34
56,Cc1ccc(S(=O)(=O)Cl)cc1.Cn1cccc1CCO,c1ccncc1,Cc1ccc(S(=O)(=O)OCCc2cccn2C)cc1,76.80000305175781,88.13983154296875,72.39555358886719,34
57,C[C@H]1CN(C(=O)OCc2ccccc2)C[C@@H]1O.Cc1ccc(S(=O)(=O)Cl)cc1,c1ccncc1,Cc1ccc(S(=O)(=O)O[C@H]2CN(C(=O)OCc3ccccc3)C[C@@H]2C)cc1,92.4000015258789,85.20634460449219,81.97528839111328,34
58,Cc1ccc(S(=O)(=O)Cl)cc1.N=C(N)Nc1nc(CO)cs1,c1ccncc1,Cc1ccc(S(=O)(=O)OCc2csc(NC(=N)N)n2)cc1,45.79999923706055,70.76667785644531,57.59080505371094,34
59,CC(C)[C@H]1CN(CCO)C(=O)N1c1ccn2ncc(-c3ccc(-c4ncn(COCC[Si](C)(C)C)n4)cc3)c2n1.Cc1ccc(S(=O)(=O)Cl)cc1,c1ccncc1,Cc1ccc(S(=O)(=O)OCCN2C[C@H](C(C)C)N(c3ccn4ncc(-c5ccc(-c6ncn(COCC[Si](C)(C)C)n6)cc5)c4n3)C2=O)cc1,68.80000305175781,69.91522216796875,81.00019073486328,34
60,Cc1ccc(S(=O)(=O)Cl)cc1.OCC1COc2ccccc2C1,c1ccncc1,Cc1ccc(S(=O)(=O)OCC2COc3ccccc3C2)cc1,94.0,82.62939453125,76.27703857421875,34
61,CCCCCCCCOCC(CO)OCCCCCCCC.Cc1ccc(S(=O)(=O)Cl)cc1,c1ccncc1,CCCCCCCCOCC(COS(=O)(=O)c1ccc(C)cc1)OCCCCCCCC,66.5,91.4850616455078,78.70781707763672,34
62,Cc1ccc(S(=O)(=O)Cl)cc1.OCC(O)Cc1c(Cl)cc2c(c1OCc1ccccc1)CCC2,c1ccncc1,Cc1ccc(S(=O)(=O)OCC(O)Cc2c(Cl)cc3c(c2OCc2ccccc2)CCC3)cc1,77.0,83.30392456054688,77.11421966552734,34
63,CCCCCCCCCCCCCCCCCCOCC(CO)OCc1ccccc1.Cc1ccc(S(=O)(=O)Cl)cc1,c1ccncc1,CCCCCCCCCCCCCCCCCCOCC(COS(=O)(=O)c1ccc(C)cc1)OCc1ccccc1,88.5999984741211,95.1107940673828,78.37516021728516,34
64,CC(C)C[C@H]1[C@H](CCO)OC(C)(C)N1C(=O)OCc1ccccc1.Cc1ccc(S(=O)(=O)Cl)cc1,c1ccncc1,Cc1ccc(S(=O)(=O)OCC[C@@H]2OC(C)(C)N(C(=O)OCc3ccccc3)[C@H]2CC(C)C)cc1,78.69999694824219,77.99617767333984,79.0347671508789,34
65,COc1ccc([C@@]2(O)CCCC[C@@H]2O)cc1.Cc1ccc(S(=O)(=O)Cl)cc1,c1ccncc1,COc1ccc([C@@]2(O)CCCC[C@@H]2OS(=O)(=O)c2ccc(C)cc2)cc1,25.0,35.1544189453125,75.77116394042969,34
66,CCCc1c(O)ccc(C(C)=O)c1O.NO,CC(=O)[O-].CCO.Cl.O.[Na+],CCCc1c(O)ccc(C(C)=NO)c1O,95.1999969482422,96.096435546875,87.80081939697266,99
67,Cn1c(C#N)ccc1-c1ccc2c(c1)C(C)(C)CC2=O.NO,CC(=O)[O-].CCO.Cl.O.[Na+],Cn1c(C#N)ccc1-c1ccc2c(c1)C(C)(C)C/C2=N\O,55.0,62.814266204833984,84.06190490722656,99
68,COc1ccc(C)c2c1C(=O)CC2.NO,CC(=O)[O-].CCO.Cl.O.[Na+],COc1ccc(C)c2c1C(=NO)CC2,89.5999984741211,96.72234344482422,91.11772155761719,99
69,CC(=O)c1cccc(C(=O)O)c1.NO,CC(=O)[O-].CCO.Cl.O.[Na+],CC(=NO)c1cccc(C(=O)O)c1,94.9000015258789,93.6662826538086,87.91941833496094,99
70,CCN1CCC(=O)c2cccc(CSc3nc4ccccc4[nH]3)c21.NO,CC(=O)[O-].CCO.Cl.O.[Na+],CCN1CCC(=NO)c2cccc(CSc3nc4ccccc4[nH]3)c21,60.0,83.09664916992188,50.54814147949219,99
71,COc1cc(C(C)=O)ccc1F.NOCc1ccc2nonc2c1,CCO.Cl.c1ccncc1,COc1cc(C(C)=NOCc2ccc3nonc3c2)ccc1F,74.19999694824219,93.3994140625,77.74392700195312,99
72,CC(=O)c1ccc(O)c2c1OCCO2.NO,CCO.Cl.c1ccncc1,CC(=NO)c1ccc(O)c2c1OCCO2,56.20000076293945,83.66024017333984,80.87971496582031,99
73,CON.Cc1c(Br)ccc2c1C(=O)CCS2,CCO.Cl.c1ccncc1,CON=C1CCSc2ccc(Br)c(C)c21,93.0999984741211,85.35427856445312,91.58297729492188,99
74,NO.O=C1CCCOc2ccccc21,CCO.Cl.c1ccncc1,ON=C1CCCOc2ccccc21,92.8000030517578,95.40254974365234,91.89469146728516,99
75,CC(C)C(=O)c1c(O)cccc1O.NO,Cl.c1ccncc1,CC(C)C(=NO)c1c(O)cccc1O,82.0999984741211,62.239593505859375,88.11980438232422,99
76,CON.O=C(CCCCl)c1ccc(F)cc1,Cl.c1ccncc1,CON=C(CCCCl)c1ccc(F)cc1,100.0,94.6341552734375,94.69056701660156,99
77,NO.O=C1CCOc2ccccc21,Cl.c1ccncc1,ON=C1CCOc2ccccc21,87.80000305175781,97.2454071044922,89.99406433105469,99
78,NO.O=C1CCCc2c(Br)cccc21,Cl.c1ccncc1,O/N=C1\CCCc2c(Br)cccc21,99.0,94.07685089111328,92.01155090332031,99
79,CC(C)(C)c1ccc2c(c1)OCCC2=O.CON,Cl.c1ccncc1,CON=C1CCOc2cc(C(C)(C)C)ccc21,89.80000305175781,96.90477752685548,86.83473205566406,99
80,C1COCCN1.Cc1cn2c(c1C(=O)OC(C)C)SCC2CC(=O)O,C(=NC1CCCCC1)=NC1CCCCC1.ClCCl,Cc1cn2c(c1C(=O)OC(C)C)SCC2CC(=O)N1CCOCC1,54.79999923706055,59.78208160400391,63.18404006958008,8
81,O=C(O)C1CCCCC1.O=C(OC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1)N1CCNCC1,C(=NC1CCCCC1)=NC1CCCCC1.ClCCl,O=C(OC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1)N1CCN(C(=O)C2CCCCC2)CC1,69.4000015258789,83.16217803955078,50.6657600402832,8
82,CCCNCCC.COc1ccc(-c2nc3cccnc3n2CC(=O)O)cc1,C1CCOC1.O=C(n1ccnc1)n1ccnc1,CCCN(CCC)C(=O)Cn1c(-c2ccc(OC)cc2)nc2cccnc21,32.900001525878906,35.16088104248047,65.20179748535156,8
83,CCCNCCC.O=C(O)CCn1c(-c2ccc(Cl)cc2)nc2cccnc21,C1CCOC1.O=C(n1ccnc1)n1ccnc1,CCCN(CCC)C(=O)CCn1c(-c2ccc(Cl)cc2)nc2cccnc21,75.9000015258789,46.19408798217773,64.74933624267578,8
84,CNC.O=C(O)Cc1ccc2c(c1)sc1nc(=O)cc(-c3ccccc3)n12,C1CCOC1.O=C(n1ccnc1)n1ccnc1,CN(C)C(=O)Cc1ccc2c(c1)sc1nc(=O)cc(-c3ccccc3)n12,33.900001525878906,44.38752746582031,56.35042953491211,8
85,O=C(O)C[C@@H]1Cc2cc(Cl)c3[nH]ncc3c2CN(Cc2ccncc2)C1=O.c1ccc(-c2cc(C3CCNCC3)n[nH]2)cc1,CC(C)(C)CN1Cc2c(cc(Cl)c3[nH]ncc23)C[C@@H](CC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)C1=O.Cl.Cl.Cl,O=C(C[C@@H]1Cc2cc(Cl)c3[nH]ncc3c2CN(Cc2ccncc2)C1=O)N1CCC(c2cc(-c3ccccc3)[nH]n2)CC1,38.20000076293945,22.62784767150879,30.319198608398438,8
86,O=C(O)C[C@@H]1Cc2cc(Cl)c3[nH]ncc3c2CN(Cc2ccncc2)C1=O.O=C1Nc2c(F)cccc2CN1C1CCNCC1,CC(C)(C)CN1Cc2c(cc(Cl)c3[nH]ncc23)C[C@@H](CC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)C1=O.Cl.Cl.Cl,O=C(C[C@@H]1Cc2cc(Cl)c3[nH]ncc3c2CN(Cc2ccncc2)C1=O)N1CCC(N2Cc3cccc(F)c3NC2=O)CC1,16.0,21.693103790283203,34.43828201293945,8
87,FC(F)(F)c1ccccc1NC1CCNCC1.O=C(O)CNC(=O)c1cc(-c2ccccc2)on1,CCN(C(C)C)C(C)C.CCN=C=NCCCN(C)C.CN(C)C=O.Cl.Cl.Cl.O.On1nnc2ccccc21,O=C(NCC(=O)N1CCC(Nc2ccccc2C(F)(F)F)CC1)c1cc(-c2ccccc2)on1,60.09999847412109,33.198936462402344,55.79667663574219,8
88,CC(C)(C)c1ccccc1NC1CCNCC1.O=C(O)CNC(=O)c1cc(-c2ccccc2)[nH]n1,CCN(C(C)C)C(C)C.CCN=C=NCCCN(C)C.CN(C)C=O.Cl.Cl.Cl.O.On1nnc2ccccc21,CC(C)(C)c1ccccc1NC1CCN(C(=O)CNC(=O)c2cc(-c3ccccc3)[nH]n2)CC1,47.59999847412109,56.59971237182617,61.92070388793945,8
89,FC(F)(F)c1cncc(OC2CCNCC2)c1.O=C(O)CNC(=O)c1cc(-c2ccccc2)[nH]n1,CCN(C(C)C)C(C)C.CCN=C=NCCCN(C)C.CN(C)C=O.Cl.Cl.O.On1nnc2ccccc21,O=C(NCC(=O)N1CCC(Oc2cncc(C(F)(F)F)c2)CC1)c1cc(-c2ccccc2)[nH]n1,46.70000076293945,43.88969421386719,40.49443435668945,8
90,CN(c1ccccc1Br)C1CCNCC1.O=C(O)CNC(=O)c1ccc(-c2ccccc2)cc1,CCN(C(C)C)C(C)C.CCN=C=NCCCN(C)C.CN(C)C=O.Cl.Cl.O.On1nnc2ccccc21,CN(c1ccccc1Br)C1CCN(C(=O)CNC(=O)c2ccc(-c3ccccc3)cc2)CC1,36.20000076293945,14.950617790222168,49.76155471801758,8
91,Fc1ccc(F)c(OC2CCNCC2)c1.O=C(O)CNC(=O)c1cc(-c2ccccc2)[nH]n1,CCN(C(C)C)C(C)C.CCN=C=NCCCN(C)C.CN(C)C=O.Cl.Cl.O.On1nnc2ccccc21,O=C(NCC(=O)N1CCC(Oc2cc(F)ccc2F)CC1)c1cc(-c2ccccc2)[nH]n1,49.09999847412109,83.95999145507812,38.312591552734375,8
